Numero,Tópico,Enunciado de la Pregunta,Alt. A,Alt. B,Alt. C,Alt. D,Respuesta,Justificación Técnica
1,Normativa General,¿Qué decreto supremo aprueba el Reglamento de Seguridad de las Instalaciones de Consumo de Energía Eléctrica?,Decreto 92,Decreto 8,Decreto 109,Decreto 327,B,Los pliegos RIC tienen como fuente reglamentaria el Decreto N°8 de 2019 del Ministerio de Energía.
2,Normativa General,¿Cuántos pliegos técnicos normativos componen el nuevo reglamento?,15 pliegos,18 pliegos,19 pliegos,21 pliegos,C,El cuerpo normativo completo está compuesto por 19 pliegos técnicos que regulan desde empalmes hasta proyectos.
3,Decreto 8,"Según el Artículo 10° del Decreto 8, ¿quién es el responsable de mantener la instalación en buen estado?",El instalador,La empresa eléctrica,El propietario,La SEC,C,El Reglamento establece que la conservación y buen estado de las instalaciones de consumo son responsabilidad de sus propietarios.
4,Decreto 8,¿Cuál es el límite de tensión de las instalaciones de consumo reguladas por el Decreto 8?,Hasta 380 V,Hasta 600 V,Hasta 1000 V,Sin límite,C,"El reglamento aplica a instalaciones de consumo en baja tensión, que se define hasta los 1.000 V."
5,Organismos,¿Qué organismo fiscaliza el cumplimiento de los pliegos técnicos RIC?,CNE,Min. Energía,SEC,Municipios,C,La Superintendencia de Electricidad y Combustibles (SEC) es el organismo dictante y fiscalizador.
6,RIC 10: Uso General,¿Qué altura de montaje establece el RIC 10 para los interruptores?,"0,50 a 1,20 m","0,80 a 1,40 m","1,00 a 1,50 m","1,40 a 2,00 m",B,"Los dispositivos de comando de alumbrado deben situarse a una altura medida desde el suelo entre 0,80 m y 1,40 m."
7,RIC 10: Uso General,"¿Está permitido el alambrado ""de centro a centro"" sin cajas de derivación?","Sí, en alumbrado","No, está prohibido",Solo en oficinas,"Solo cable 1,5mm²",B,Las uniones y derivaciones deben realizarse siempre dentro de cajas; el alambrado directo entre centros sin caja está prohibido.
8,RIC 10: Uso General,¿Cuántos circuitos mínimos requiere una vivienda de menos de 30 m²?,1 circuito,2 circuitos,3 circuitos,4 circuitos,B,El RIC 10 exige al menos dos circuitos para viviendas pequeñas para asegurar continuidad de servicio mínima.
9,RIC 10: Uso General,¿Cuál es la potencia unitaria por enchufe hembra para el cálculo de carga?,150 W,200 W,250 W,400 W,C,"Para efectos de cálculo, cada enchufe hembra en circuitos de uso general se computará con 250 W."
10,RIC 10: Uso General,¿Qué sensibilidad máxima debe tener el diferencial para protección de personas?,10 mA,30 mA,100 mA,300 mA,B,"Para protección contra contactos indirectos de personas, la sensibilidad asignada no debe ser superior a 30 mA."
11,RIC 10: Uso General,¿Cuántos circuitos derivados se pueden conectar como máximo a un solo diferencial?,1 circuito,2 circuitos,3 circuitos,5 circuitos,C,"Para evitar disparos intempestivos por corrientes de fuga acumuladas, se limita a 3 circuitos por protección diferencial."
12,RIC 10: Uso General,¿Qué curva de disparo se recomienda para circuitos de iluminación?,Curva B,Curva C,Curva D,Curva Z,A,"La curva B se recomienda para cargas resistivas o con bajas corrientes de inserción, como la iluminación general."
13,RIC 10: Uso General,¿Qué curva de disparo se recomienda para circuitos de enchufes de uso general?,Curva B,Curva C,Curva D,Curva MA,B,La curva C es la estándar para circuitos de enchufes que pueden alimentar cargas con consumos de partida moderados.
14,RIC 10: Uso General,¿En qué lugares está prohibido instalar tableros eléctricos según el RIC 10?,Pasillos,Cocinas,Baños y dormitorios,Logias,C,"El RIC 10 prohíbe explícitamente la ubicación de tableros en dormitorios, baños y lugares de difícil acceso."
15,RIC 18: Proyectos,¿A partir de qué potencia declarada es obligatoria la memoria explicativa?,5 kW,10 kW,20 kW,50 kW,B,"Según el punto 6.2.1.1 del RIC 18, es obligatoria para proyectos con potencia declarada superior a 10 kW."
16,RIC 04: Conductores,¿Qué sección mínima de conductor de cobre se exige para enchufes?,"1,5 mm²","2,5 mm²","4,0 mm²","6,0 mm²",B,"El RIC 04 y RIC 10 establecen que la sección mínima para circuitos de enchufes debe ser de 2,5 mm² de cobre."
17,RIC 11: Especiales,¿Cómo se denomina el volumen interior de una bañera o ducha?,Volumen 0,Volumen 1,Volumen 2,Volumen 3,A,El Volumen 0 comprende el interior de la bañera o el receptáculo de la ducha.
18,RIC 11: Especiales,¿Hasta qué altura llega el Volumen 1 sobre el nivel del suelo en un baño?,"1,80 m","2,00 m","2,25 m","3,00 m",C,"El Volumen 1 está limitado horizontalmente por el volumen 0 y verticalmente hasta 2,25 m sobre el suelo."
19,RIC 03: Alimentadores,¿Qué sección mínima debe tener el alimentador de una vivienda?,"1,5 mm²","2,5 mm²","4,0 mm²","6,0 mm²",C,"El RIC 03 establece que la sección mínima permisible para conductores de un alimentador es de 4,0 mm²."
20,RIC 02: Tableros,¿Qué porcentaje de reserva deben tener los tableros nuevos?,10%,20%,25%,50%,C,Los tableros deben proyectarse con una reserva de espacio libre del 25% para futuras ampliaciones.
21,RIC 10: Protecciones,¿Qué curva de disparo se utiliza específicamente para la protección de motores (guardamotores)?,Curva B,Curva C,Curva Z,Curva MA,D,"Según el RIC 10, las protecciones magnéticas puras (Curva MA) se utilizan para protección de cortocircuitos en motores."
22,RIC 10: Enchufes,¿Qué tipo de alvéolo deben tener obligatoriamente los enchufes hembra para seguridad?,Alvéolo abierto,Alvéolo protegido,Alvéolo cerámico,Alvéolo de madera,B,"Los enchufes hembra deben contar con alvéolos protegidos (shutter) para evitar contactos accidentales, especialmente por niños."
23,RIC 10: Enchufes,¿La capacidad nominal de corriente del módulo de enchufe puede ser inferior a la de su protección?,"Sí, un 10%","No, no debe ser inferior",Solo en baños,Solo en dormitorios,B,El RIC 10 establece que la capacidad de los módulos de enchufe debe ser al menos igual a la capacidad nominal de la protección del circuito.
24,RIC 10: Iluminación,¿Qué elemento es obligatorio para todos los centros de iluminación según el RIC 10?,Sensores de humo,Conductor de tierra,Lámparas LED,Interruptor tirador,B,Todo centro de iluminación debe contar con un conductor de puesta a tierra de protección para las partes metálicas de la luminaria.
25,RIC 10: Instalación,¿Cuál es la altura mínima permitida para un interruptor con señal luminosa en un pasillo?,"0,60 m","0,80 m","1,00 m","1,40 m",B,"La altura de montaje de los dispositivos de comando (interruptores) debe situarse en un rango de 0,80 m a 1,40 m sobre el suelo."
26,RIC 10: Cajas,"¿Cuántos conductores de 8,37 mm² (8 AWG) caben máximo en una caja de derivación de 400 cm³?",5 conductores,8 conductores,10 conductores,12 conductores,D,"Según la Tabla N°10.4 del RIC 10, para una caja de 400 cm³, el número máximo de conductores de esa sección es 12."
